frame_index,max_dim.x,max_dim.y,mouse_top.mouse_top_0.x1,mouse_top.mouse_top_0.y1,mouse_top.mouse_top_0.x2,mouse_top.mouse_top_0.y2,mouse_top.mouse_top_0.conf,mouse_top.mouse_top_0.nose.x,mouse_top.mouse_top_0.nose.y,mouse_top.mouse_top_0.nose.conf,mouse_top.mouse_top_0.headcentre.x,mouse_top.mouse_top_0.headcentre.y,mouse_top.mouse_top_0.headcentre.conf,mouse_top.mouse_top_0.neck.x,mouse_top.mouse_top_0.neck.y,mouse_top.mouse_top_0.neck.conf,mouse_top.mouse_top_0.earl.x,mouse_top.mouse_top_0.earl.y,mouse_top.mouse_top_0.earl.conf,mouse_top.mouse_top_0.earr.x,mouse_top.mouse_top_0.earr.y,mouse_top.mouse_top_0.earr.conf,mouse_top.mouse_top_0.bodycentre.x,mouse_top.mouse_top_0.bodycentre.y,mouse_top.mouse_top_0.bodycentre.conf,mouse_top.mouse_top_0.bcl.x,mouse_top.mouse_top_0.bcl.y,mouse_top.mouse_top_0.bcl.conf,mouse_top.mouse_top_0.bcr.x,mouse_top.mouse_top_0.bcr.y,mouse_top.mouse_top_0.bcr.conf,mouse_top.mouse_top_0.hipl.x,mouse_top.mouse_top_0.hipl.y,mouse_top.mouse_top_0.hipl.conf,mouse_top.mouse_top_0.hipr.x,mouse_top.mouse_top_0.hipr.y,mouse_top.mouse_top_0.hipr.conf,mouse_top.mouse_top_0.tailbase.x,mouse_top.mouse_top_0.tailbase.y,mouse_top.mouse_top_0.tailbase.conf,mouse_top.mouse_top_0.tailcentre.x,mouse_top.mouse_top_0.tailcentre.y,mouse_top.mouse_top_0.tailcentre.conf,mouse_top.mouse_top_0.tailtip.x,mouse_top.mouse_top_0.tailtip.y,mouse_top.mouse_top_0.tailtip.conf,oft.oft_0.x1,oft.oft_0.y1,oft.oft_0.x2,oft.oft_0.y2,oft.oft_0.conf,oft.oft_0.tl.x,oft.oft_0.tl.y,oft.oft_0.tl.conf,oft.oft_0.tr.x,oft.oft_0.tr.y,oft.oft_0.tr.conf,oft.oft_0.bl.x,oft.oft_0.bl.y,oft.oft_0.bl.conf,oft.oft_0.br.x,oft.oft_0.br.y,oft.oft_0.br.conf
0,1280,1024,846.26416015625,281.94244384765625,886.210693359375,360.1563720703125,0.9271164536476135,881.3432006835938,360.9766845703125,0.9835807681083679,879.3533325195312,348.0846252441406,0.9987077713012695,876.5728149414062,335.55670166015625,0.9996682405471802,885.811279296875,336.849853515625,0.9992139339447021,868.5842895507812,341.8316650390625,0.9988470077514648,870.633544921875,314.9803466796875,0.9998387098312378,885.7723999023438,314.2138977050781,0.9987568855285645,855.6226196289062,322.8155212402344,0.997751772403717,883.5844116210938,294.0732421875,0.9989112615585327,845.6460571289062,309.6063537597656,0.9980408549308777,852.6172485351562,282.4800720214844,0.9993327260017395,812.1756591796875,256.8779296875,0.9958584904670715,769.8787841796875,245.407470703125,0.9748809933662415,372.6302490234375,229.5760498046875,910.9498291015625,769.8206787109375,0.9865021109580994,372.88677978515625,230.56338500976562,0.9939035773277283,911.260986328125,230.22927856445312,0.9924271106719971,374.31719970703125,767.5353393554688,0.9926061630249023,908.6614379882812,770.480224609375,0.9880268573760986
1,1280,1024,846.886474609375,283.20526123046875,887.18017578125,365.37554931640625,0.9212636947631836,872.9598388671875,365.714111328125,0.9936204552650452,874.3078002929688,350.9172058105469,0.9994152784347534,874.4552612304688,337.1908874511719,0.9997952580451965,883.8206787109375,340.67974853515625,0.999478280544281,864.7158203125,341.74835205078125,0.9992697834968567,871.9475708007812,317.47637939453125,0.9998230338096619,887.2369384765625,318.7632141113281,0.998678982257843,855.8178100585938,323.4965515136719,0.9979397654533386,885.6952514648438,296.5685729980469,0.9985038042068481,846.6236572265625,309.3568420410156,0.9975190162658691,855.5333862304688,283.69085693359375,0.9987049102783203,817.8319702148438,255.88211059570312,0.9911842942237854,772.5153198242188,245.80508422851562,0.9629300832748413,372.6302490234375,229.5760498046875,910.9498291015625,769.8206787109375,0.9865021109580994,372.88677978515625,230.56338500976562,0.9939035773277283,911.260986328125,230.22927856445312,0.9924271106719971,374.31719970703125,767.5353393554688,0.9926061630249023,908.6614379882812,770.480224609375,0.9880268573760986
2,1280,1024,847.0447998046875,285.8070068359375,887.5977783203125,370.6932373046875,0.9184316992759705,866.7553100585938,371.2416687011719,0.9987200498580933,868.9512939453125,356.21771240234375,0.999901294708252,870.5675048828125,342.267578125,0.9999548196792603,880.1275634765625,346.8900451660156,0.9998661279678345,859.89111328125,345.55389404296875,0.9998070597648621,871.4824829101562,322.421630859375,0.9999209642410278,887.278076171875,324.3175354003906,0.9993044137954712,855.1610717773438,325.5936584472656,0.9990360736846924,887.2706298828125,301.8171081542969,0.998705267906189,847.2017822265625,309.80078125,0.9981813430786133,858.215087890625,286.25689697265625,0.9985896944999695,822.559326171875,256.6474609375,0.9901320934295654,776.8555297851562,245.85977172851562,0.9621960520744324,372.6302490234375,229.5760498046875,910.9498291015625,769.8206787109375,0.9865021109580994,372.88677978515625,230.56338500976562,0.9939035773277283,911.260986328125,230.22927856445312,0.9924271106719971,374.31719970703125,767.5353393554688,0.9926061630249023,908.6614379882812,770.480224609375,0.9880268573760986
3,1280,1024,847.43701171875,289.040771484375,887.720703125,374.6065673828125,0.9235855340957642,861.6734619140625,375.0975646972656,0.9989377856254578,865.968017578125,360.7652282714844,0.9999101161956787,869.1270751953125,347.0815734863281,0.9999675750732422,877.6810302734375,352.73114013671875,0.9999080896377563,858.4969482421875,349.4852600097656,0.9998360872268677,871.1749877929688,327.7744445800781,0.9999501705169678,886.6746826171875,331.0701904296875,0.9995949864387512,854.214599609375,330.3294982910156,0.9992503523826599,888.7515869140625,307.69586181640625,0.9992830157279968,847.4306640625,313.5902099609375,0.9986087679862976,861.6781005859375,289.01226806640625,0.9990689158439636,828.6752319335938,257.69378662109375,0.9928479194641113,783.5867919921875,246.53515625,0.9706173539161682,372.6302490234375,229.5760498046875,910.9498291015625,769.8206787109375,0.9865021109580994,372.88677978515625,230.56338500976562,0.9939035773277283,911.260986328125,230.22927856445312,0.9924271106719971,374.31719970703125,767.5353393554688,0.9926061630249023,908.6614379882812,770.480224609375,0.9880268573760986
4,1280,1024,847.71240234375,292.0845642089844,886.804931640625,378.0263366699219,0.9241454601287842,859.3661499023438,378.3986511230469,0.9981410503387451,863.3276977539062,364.33123779296875,0.9998225569725037,866.364990234375,350.75567626953125,0.9999418258666992,874.6917114257812,356.5374450683594,0.9998581409454346,855.84130859375,353.10296630859375,0.9996932744979858,869.3458251953125,331.8834533691406,0.999924898147583,885.4349365234375,336.1087646484375,0.9995149374008179,853.0302734375,334.393310546875,0.9988226294517517,888.7338256835938,312.327880859375,0.9991928935050964,847.8646240234375,318.1450500488281,0.9979854822158813,862.4227294921875,292.2458801269531,0.9988271594047546,833.2037353515625,257.43621826171875,0.9894919395446777,788.607666015625,246.56210327148438,0.9602651000022888,372.6302490234375,229.5760498046875,910.9498291015625,769.8206787109375,0.9865021109580994,372.88677978515625,230.56338500976562,0.9939035773277283,911.260986328125,230.22927856445312,0.9924271106719971,374.31719970703125,767.5353393554688,0.9926061630249023,908.6614379882812,770.480224609375,0.9880268573760986
5,1280,1024,847.0548095703125,297.23577880859375,884.56201171875,380.3450927734375,0.9246039390563965,855.5317993164062,380.4197692871094,0.9973213076591492,860.6434326171875,367.2523498535156,0.999728262424469,864.6043701171875,354.3482666015625,0.9999085664749146,872.3173828125,360.48114013671875,0.999795138835907,854.2109985351562,355.8659362792969,0.9995416402816772,868.1739501953125,335.96466064453125,0.9998977184295654,883.8676147460938,339.7066955566406,0.9993857145309448,851.94189453125,338.40032958984375,0.9984630346298218,885.5798950195312,315.9432067871094,0.9990124702453613,847.366455078125,323.8701477050781,0.9972877502441406,859.7297973632812,297.2542419433594,0.9983131885528564,834.3092651367188,260.5823059082031,0.9843295216560364,791.9279174804688,246.22198486328125,0.9466592669487,372.6302490234375,229.5760498046875,910.9498291015625,769.8206787109375,0.9865021109580994,372.88677978515625,230.56338500976562,0.9939035773277283,911.260986328125,230.22927856445312,0.9924271106719971,374.31719970703125,767.5353393554688,0.9926061630249023,908.6614379882812,770.480224609375,0.9880268573760986
6,1280,1024,845.500732421875,300.8260803222656,881.92138671875,385.7040710449219,0.9259949922561646,851.7705078125,385.24176025390625,0.9990973472595215,856.5361328125,371.7711181640625,0.9999191761016846,860.550537109375,359.0475769042969,0.9999717473983765,867.8947143554688,365.5198974609375,0.999910831451416,850.4971313476562,360.1725769042969,0.9998778104782104,865.0726928710938,339.4929504394531,0.9999454021453857,880.3306884765625,342.0213317871094,0.9995050430297852,850.484375,340.45806884765625,0.9994854927062988,882.5966796875,318.8529968261719,0.9989469647407532,846.1538696289062,325.7964782714844,0.9987059831619263,858.5487060546875,302.1232604980469,0.9987241625785828,833.5614624023438,267.148193359375,0.9876437187194824,794.9659423828125,250.35263061523438,0.954441487789154,372.6302490234375,229.5760498046875,910.9498291015625,769.8206787109375,0.9865021109580994,372.88677978515625,230.56338500976562,0.9939035773277283,911.260986328125,230.22927856445312,0.9924271106719971,374.31719970703125,767.5353393554688,0.9926061630249023,908.6614379882812,770.480224609375,0.9880268573760986
7,1280,1024,843.5280151367188,305.06646728515625,878.6239624023438,392.20867919921875,0.9290058612823486,848.5984497070312,391.3885498046875,0.9991891980171204,852.5399780273438,377.8462829589844,0.9999160766601562,855.9231567382812,365.40289306640625,0.9999575614929199,863.30322265625,370.9436950683594,0.9998836517333984,846.1849975585938,366.37274169921875,0.999821126461029,860.5984497070312,341.91119384765625,0.999883770942688,875.416259765625,343.8248596191406,0.9991284012794495,846.4413452148438,342.4698486328125,0.9989498257637024,878.8096313476562,320.42694091796875,0.9970768690109253,844.981201171875,325.3651428222656,0.9961850047111511,858.0111083984375,306.1433410644531,0.9954103827476501,833.5813598632812,269.11737060546875,0.938948392868042,796.4388427734375,250.50396728515625,0.8549898266792297,372.6302490234375,229.5760498046875,910.9498291015625,769.8206787109375,0.9865021109580994,372.88677978515625,230.56338500976562,0.9939035773277283,911.260986328125,230.22927856445312,0.9924271106719971,374.31719970703125,767.5353393554688,0.9926061630249023,908.6614379882812,770.480224609375,0.9880268573760986
8,1280,1024,840.1473388671875,309.4907531738281,878.0465087890625,401.7398986816406,0.9361121654510498,845.4599609375,401.1195373535156,0.9995964169502258,848.7864990234375,386.2010498046875,0.9999704360961914,851.9481201171875,372.78997802734375,0.9999833106994629,859.8995971679688,378.45941162109375,0.9999513626098633,841.767822265625,374.28070068359375,0.9999006986618042,857.0940551757812,349.22967529296875,0.9999504089355469,872.2098388671875,351.196533203125,0.9995972514152527,843.4571533203125,348.5618591308594,0.9993177652359009,877.95263671875,330.3882141113281,0.9981203675270081,842.6922607421875,332.0219421386719,0.9968756437301636,859.2268676757812,311.00445556640625,0.9957022070884705,840.33447265625,267.05303955078125,0.9112585783004761,802.24462890625,247.67138671875,0.8058614134788513,372.6302490234375,229.5760498046875,910.9498291015625,769.8206787109375,0.9865021109580994,372.88677978515625,230.56338500976562,0.9939035773277283,911.260986328125,230.22927856445312,0.9924271106719971,374.31719970703125,767.5353393554688,0.9926061630249023,908.6614379882812,770.480224609375,0.9880268573760986
9,1280,1024,838.3915405273438,316.85321044921875,878.9823608398438,408.19622802734375,0.9353083968162537,844.225341796875,407.9048767089844,0.9991771578788757,847.0361938476562,393.7445068359375,0.9999521970748901,849.9063110351562,380.7200012207031,0.999982476234436,857.3457641601562,386.29632568359375,0.9999446868896484,840.2730102539062,382.5870056152344,0.9998987913131714,855.8997192382812,356.3656311035156,0.9999703168869019,870.9140014648438,358.6545715332031,0.9997054934501648,842.2452392578125,355.00042724609375,0.9995490908622742,878.83837890625,340.684814453125,0.9988419413566589,841.1402587890625,339.3300476074219,0.9983408451080322,861.985595703125,317.35711669921875,0.9975778460502625,851.1007690429688,270.0890197753906,0.9496920704841614,816.06005859375,247.85960388183594,0.8578164577484131,372.6302490234375,229.5760498046875,910.9498291015625,769.8206787109375,0.9865021109580994,372.88677978515625,230.56338500976562,0.9939035773277283,911.260986328125,230.22927856445312,0.9924271106719971,374.31719970703125,767.5353393554688,0.9926061630249023,908.6614379882812,770.480224609375,0.9880268573760986
