frame_index,max_dim.x,max_dim.y,mouse_top.mouse_top_0.x1,mouse_top.mouse_top_0.y1,mouse_top.mouse_top_0.x2,mouse_top.mouse_top_0.y2,mouse_top.mouse_top_0.conf,mouse_top.mouse_top_0.nose.x,mouse_top.mouse_top_0.nose.y,mouse_top.mouse_top_0.nose.conf,mouse_top.mouse_top_0.headcentre.x,mouse_top.mouse_top_0.headcentre.y,mouse_top.mouse_top_0.headcentre.conf,mouse_top.mouse_top_0.neck.x,mouse_top.mouse_top_0.neck.y,mouse_top.mouse_top_0.neck.conf,mouse_top.mouse_top_0.earl.x,mouse_top.mouse_top_0.earl.y,mouse_top.mouse_top_0.earl.conf,mouse_top.mouse_top_0.earr.x,mouse_top.mouse_top_0.earr.y,mouse_top.mouse_top_0.earr.conf,mouse_top.mouse_top_0.bodycentre.x,mouse_top.mouse_top_0.bodycentre.y,mouse_top.mouse_top_0.bodycentre.conf,mouse_top.mouse_top_0.bcl.x,mouse_top.mouse_top_0.bcl.y,mouse_top.mouse_top_0.bcl.conf,mouse_top.mouse_top_0.bcr.x,mouse_top.mouse_top_0.bcr.y,mouse_top.mouse_top_0.bcr.conf,mouse_top.mouse_top_0.hipl.x,mouse_top.mouse_top_0.hipl.y,mouse_top.mouse_top_0.hipl.conf,mouse_top.mouse_top_0.hipr.x,mouse_top.mouse_top_0.hipr.y,mouse_top.mouse_top_0.hipr.conf,mouse_top.mouse_top_0.tailbase.x,mouse_top.mouse_top_0.tailbase.y,mouse_top.mouse_top_0.tailbase.conf,mouse_top.mouse_top_0.tailcentre.x,mouse_top.mouse_top_0.tailcentre.y,mouse_top.mouse_top_0.tailcentre.conf,mouse_top.mouse_top_0.tailtip.x,mouse_top.mouse_top_0.tailtip.y,mouse_top.mouse_top_0.tailtip.conf,oft.oft_0.x1,oft.oft_0.y1,oft.oft_0.x2,oft.oft_0.y2,oft.oft_0.conf,oft.oft_0.tl.x,oft.oft_0.tl.y,oft.oft_0.tl.conf,oft.oft_0.tr.x,oft.oft_0.tr.y,oft.oft_0.tr.conf,oft.oft_0.bl.x,oft.oft_0.bl.y,oft.oft_0.bl.conf,oft.oft_0.br.x,oft.oft_0.br.y,oft.oft_0.br.conf
0,1280,1024,572.2806396484375,731.283447265625,668.378662109375,765.0751953125,0.9138635993003845,571.95654296875,738.893798828125,0.9925163388252258,585.8189697265625,740.8697509765625,0.9990822076797485,598.5577392578125,742.6795043945312,0.9992945194244385,593.1893920898438,750.1010131835938,0.9983235001564026,595.0364990234375,734.3894653320312,0.9980089068412781,623.5875244140625,745.53466796875,0.9993849992752075,618.6043090820312,758.989990234375,0.9953842759132385,622.5625610351562,731.5338134765625,0.9955790638923645,645.9288940429688,765.2382202148438,0.991747260093689,649.2428588867188,732.1585693359375,0.993182361125946,667.855712890625,751.2210693359375,0.9968650937080383,708.9735107421875,751.7058715820312,0.9639739394187927,747.0643310546875,741.2388916015625,0.8652985095977783,374.4521789550781,230.03057861328125,910.95068359375,769.7567138671875,0.9865938425064087,376.1983337402344,230.53494262695312,0.9950379729270935,910.5574340820312,232.37344360351562,0.9949488639831543,374.3861083984375,767.095703125,0.9980639815330505,910.2630615234375,770.2066650390625,0.9971998929977417
1,1280,1024,564.4580078125,730.05859375,656.614990234375,763.924560546875,0.9235418438911438,564.65234375,735.03369140625,0.9947860240936279,576.7302856445312,738.0429077148438,0.999398946762085,588.587646484375,740.7665405273438,0.9995959401130676,582.9877319335938,748.3685913085938,0.9989842772483826,586.3328857421875,732.12158203125,0.9989691972732544,613.3224487304688,744.5025634765625,0.9997064471244812,608.5809936523438,758.7749633789062,0.9972766041755676,614.1318969726562,729.9880981445312,0.9978818297386169,632.8475952148438,765.6148681640625,0.9959825277328491,640.3414916992188,730.8648681640625,0.9974018335342407,655.9885864257812,751.8621826171875,0.9990425705909729,703.8763427734375,752.2789306640625,0.9926989674568176,744.324951171875,735.4400024414062,0.9579815864562988,374.4521789550781,230.03057861328125,910.95068359375,769.7567138671875,0.9865938425064087,376.1983337402344,230.53494262695312,0.9950379729270935,910.5574340820312,232.37344360351562,0.9949488639831543,374.3861083984375,767.095703125,0.9980639815330505,910.2630615234375,770.2066650390625,0.9971998929977417
2,1280,1024,556.5821533203125,728.639892578125,649.4088134765625,764.535400390625,0.9282212257385254,556.6522216796875,732.3518676757812,0.995983362197876,568.1569213867188,735.885009765625,0.9996095299720764,579.7852172851562,738.9572143554688,0.9997335076332092,573.937744140625,745.9973754882812,0.9992700219154358,577.729736328125,730.703857421875,0.9991924166679382,605.1196899414062,744.0503540039062,0.9997442364692688,600.14990234375,758.5007934570312,0.9976142644882202,606.1728515625,729.8965454101562,0.9978616833686829,625.902099609375,765.6572875976562,0.9959203004837036,630.4744873046875,729.333740234375,0.9970345497131348,648.688232421875,751.1002807617188,0.9987906813621521,693.6578369140625,754.5927124023438,0.98968505859375,735.191162109375,743.14013671875,0.9453409910202026,374.4521789550781,230.03057861328125,910.95068359375,769.7567138671875,0.9865938425064087,376.1983337402344,230.53494262695312,0.9950379729270935,910.5574340820312,232.37344360351562,0.9949488639831543,374.3861083984375,767.095703125,0.9980639815330505,910.2630615234375,770.2066650390625,0.9971998929977417
3,1280,1024,548.51904296875,727.4208984375,642.0341796875,765.061767578125,0.923034131526947,548.717041015625,729.941162109375,0.9941869974136353,559.715576171875,733.4122924804688,0.999358594417572,571.048095703125,737.2948608398438,0.9996559619903564,564.59912109375,743.1895141601562,0.998996913433075,569.9425659179688,729.6798095703125,0.999076247215271,596.3236083984375,742.4788818359375,0.999762237071991,590.5729370117188,757.1083984375,0.9976034760475159,596.267578125,728.4141845703125,0.9981322884559631,620.4505615234375,766.1266479492188,0.9969509840011597,617.6170654296875,727.0916137695312,0.9979973435401917,641.141845703125,749.0165405273438,0.9991795420646667,686.8573608398438,753.7694702148438,0.9931533336639404,729.3938598632812,742.741943359375,0.9581623673439026,374.4521789550781,230.03057861328125,910.95068359375,769.7567138671875,0.9865938425064087,376.1983337402344,230.53494262695312,0.9950379729270935,910.5574340820312,232.37344360351562,0.9949488639831543,374.3861083984375,767.095703125,0.9980639815330505,910.2630615234375,770.2066650390625,0.9971998929977417
4,1280,1024,539.6126708984375,726.7359619140625,632.4302978515625,763.4197998046875,0.9248698949813843,539.755126953125,729.1887817382812,0.9963266253471375,552.1344604492188,732.7003784179688,0.9996565580368042,564.1062622070312,736.2495727539062,0.9997460246086121,557.3242797851562,742.94140625,0.9992035031318665,562.3980712890625,728.1265258789062,0.9992530941963196,588.2373046875,741.5428466796875,0.9997710585594177,582.5455322265625,756.5901489257812,0.9976373910903931,588.2142944335938,727.3217163085938,0.9980589747428894,613.7096557617188,764.1449584960938,0.9966656565666199,608.8877563476562,727.74560546875,0.9976927042007446,631.9497680664062,746.6539306640625,0.9992233514785767,679.33056640625,750.6358642578125,0.9942041039466858,724.21337890625,734.8160400390625,0.9624688625335693,374.4521789550781,230.03057861328125,910.95068359375,769.7567138671875,0.9865938425064087,376.1983337402344,230.53494262695312,0.9950379729270935,910.5574340820312,232.37344360351562,0.9949488639831543,374.3861083984375,767.095703125,0.9980639815330505,910.2630615234375,770.2066650390625,0.9971998929977417
5,1280,1024,529.5208740234375,725.7344970703125,623.5196533203125,762.2012939453125,0.9176443219184875,529.3296508789062,728.3732299804688,0.992892861366272,540.9176635742188,731.6052856445312,0.9992052912712097,552.7479248046875,735.3137817382812,0.9995624423027039,546.3062744140625,741.4784545898438,0.9987595081329346,551.2041015625,727.5300903320312,0.9988497495651245,579.099365234375,740.2001953125,0.9996861219406128,574.392333984375,755.1361083984375,0.997078537940979,578.8672485351562,726.5823974609375,0.9977303147315979,604.8130493164062,762.6976318359375,0.9965613484382629,598.4476318359375,725.8734741210938,0.997664213180542,622.7197265625,745.3790283203125,0.9991466999053955,668.4109497070312,748.869873046875,0.9937403202056885,711.0586547851562,734.1179809570312,0.9601851105690002,374.4521789550781,230.03057861328125,910.95068359375,769.7567138671875,0.9865938425064087,376.1983337402344,230.53494262695312,0.9950379729270935,910.5574340820312,232.37344360351562,0.9949488639831543,374.3861083984375,767.095703125,0.9980639815330505,910.2630615234375,770.2066650390625,0.9971998929977417
6,1280,1024,520.1270751953125,724.0844116210938,615.7064208984375,762.5164184570312,0.9225862622261047,520.2846069335938,728.7105712890625,0.9926837086677551,532.8663330078125,730.7529907226562,0.999337375164032,545.1809692382812,733.5576171875,0.999626636505127,539.118896484375,740.7385864257812,0.9989295601844788,542.8799438476562,725.5121459960938,0.9988358616828918,571.1287231445312,737.5674438476562,0.9997209906578064,565.51123046875,753.0342407226562,0.9972992539405823,571.325439453125,723.4861450195312,0.9975131750106812,595.304931640625,762.5632934570312,0.9960772395133972,592.0730590820312,725.3272705078125,0.9969990253448486,614.7374877929688,746.4609985351562,0.9988484382629395,660.2391967773438,749.3677978515625,0.99104905128479,705.4425659179688,736.5205078125,0.9473705291748047,374.4521789550781,230.03057861328125,910.95068359375,769.7567138671875,0.9865938425064087,376.1983337402344,230.53494262695312,0.9950379729270935,910.5574340820312,232.37344360351562,0.9949488639831543,374.3861083984375,767.095703125,0.9980639815330505,910.2630615234375,770.2066650390625,0.9971998929977417
7,1280,1024,511.5730895996094,723.8634033203125,606.6597900390625,760.8133544921875,0.9162919521331787,511.383056640625,729.28662109375,0.9947821497917175,525.0592651367188,730.8883666992188,0.9995334148406982,537.6348266601562,732.9534301757812,0.9996697902679443,531.9901123046875,740.3253784179688,0.9991864562034607,535.1043090820312,725.09716796875,0.9987903237342834,562.5503540039062,737.17919921875,0.9997190833091736,556.8795776367188,751.7635498046875,0.9976096153259277,564.2759399414062,723.0541381835938,0.9970914125442505,581.6380615234375,761.167724609375,0.9956883788108826,588.4879150390625,724.7647094726562,0.9959094524383545,606.8428955078125,748.4139404296875,0.9988910555839539,654.02490234375,749.0322875976562,0.9912283420562744,698.047119140625,734.2340087890625,0.9479060173034668,374.4521789550781,230.03057861328125,910.95068359375,769.7567138671875,0.9865938425064087,376.1983337402344,230.53494262695312,0.9950379729270935,910.5574340820312,232.37344360351562,0.9949488639831543,374.3861083984375,767.095703125,0.9980639815330505,910.2630615234375,770.2066650390625,0.9971998929977417
8,1280,1024,504.37109375,722.9403076171875,595.024658203125,759.1385498046875,0.9213219881057739,504.8526306152344,727.8724975585938,0.9947798252105713,517.3414306640625,729.4830932617188,0.9994310736656189,529.10986328125,731.6478881835938,0.9996192455291748,523.9965209960938,739.12255859375,0.9991065859794617,526.692626953125,723.72021484375,0.9987967014312744,553.4324951171875,736.3226318359375,0.9996892213821411,547.2929077148438,750.6090698242188,0.9973742961883545,555.1983642578125,722.4876708984375,0.9971948862075806,569.2758178710938,760.206787109375,0.9957219362258911,579.9764404296875,725.6422119140625,0.9963667392730713,594.0894775390625,749.6832275390625,0.998874843120575,641.9014282226562,752.1564331054688,0.9911768436431885,685.0811767578125,738.314453125,0.9519087076187134,374.4521789550781,230.03057861328125,910.95068359375,769.7567138671875,0.9865938425064087,376.1983337402344,230.53494262695312,0.9950379729270935,910.5574340820312,232.37344360351562,0.9949488639831543,374.3861083984375,767.095703125,0.9980639815330505,910.2630615234375,770.2066650390625,0.9971998929977417
9,1280,1024,492.1456298828125,722.7938232421875,585.807373046875,759.63525390625,0.9280059933662415,492.49609375,726.48095703125,0.9965816140174866,506.23187255859375,729.0560913085938,0.9996722936630249,518.8280029296875,731.7484741210938,0.9997343420982361,512.968017578125,739.18505859375,0.999371349811554,516.7764282226562,723.64599609375,0.9990578293800354,543.69384765625,736.9299926757812,0.9997298121452332,537.671630859375,751.69921875,0.9977115392684937,545.3846435546875,722.8018798828125,0.9971718192100525,561.1535034179688,760.7212524414062,0.995951771736145,569.7928466796875,724.7124633789062,0.9960479140281677,585.1760864257812,750.180908203125,0.9988780617713928,631.3250732421875,758.5060424804688,0.9913583993911743,675.9700927734375,746.24609375,0.9519519209861755,374.4521789550781,230.03057861328125,910.95068359375,769.7567138671875,0.9865938425064087,376.1983337402344,230.53494262695312,0.9950379729270935,910.5574340820312,232.37344360351562,0.9949488639831543,374.3861083984375,767.095703125,0.9980639815330505,910.2630615234375,770.2066650390625,0.9971998929977417
